name,caseCount,status,localSource,implementedBy,requires,examples,notes
"amsbsy","2","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/amsmath/amsbsy.sty","src/tex-text.js + src/renderer-svg.js","","Multiplex chain GMHMM (beta) / multiplex_chain_gmhmm_beta | Multiplex chain GMHMM / multiplex_chain_gmhmm",""
"amsfonts","1","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/amsfonts/amsfonts.sty","src/math-metrics.js + src/renderer-svg.js","","kalman diagram set",""
"amsmath","38","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/amsmath/amsmath.sty","src/math-metrics.js + src/renderer-svg.js + src/preprocess.js:parseDeclareMathOperator","","A3C execution / a3c_execution | A3C neural network / a3c_neural_network | Multilayer network / multilayer_network | muxstep pipeline / muxstep_pipeline | Reinforcement learning greedy policy / reinforcement_learning_greedy_policy | Complex roots - tangent real solution | Complex roots - two real solutions | Complex roots - imaginary solutions | Complex roots - shifted complex solutions | Complex roots - imaginary roots extended graph | Complex roots - shifted extended graph | Complex roots - equation text block",""
"amssymb","14","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/amsfonts/amssymb.sty","src/math-metrics.js + src/renderer-svg.js","","A3C execution / a3c_execution | A3C neural network / a3c_neural_network | muxstep pipeline / muxstep_pipeline | Reinforcement learning greedy policy / reinforcement_learning_greedy_policy | disk to plane | ergodic | operator orderings | colorized equation equation | doc ml cnn | doc ml single cnn | ml cnn | ml single cnn",""
"amsthm","1","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/amscls/amsthm.sty","src/preprocess.js:stripTexDocumentShell","","kalman diagram set",""
"appendixnumberbeamer","1","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/appendixnumberbeamer/appendixnumberbeamer.sty","src/preprocess.js:stripTexDocumentShell","","time chronology break arr timeline text advanced",""
"array","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tools/array.sty","","","flow direction of arrival diagram matrrix table | table color",""
"babel","10","noop","/usr/local/texlive/2025/texmf-dist/tex/generic/babel/babel.sty","src/preprocess.js:stripTexDocumentShell","","Particle accelerator lattice elements | kalman diagram set | mammography bayes diagram | nn stacked blocks neuralnet 3d def pgf set style | pirates games | porter model diagram | table comparison many | table comparison med | table comparison minimal | time snake frames and arrows timeline figure foreach",""
"bm","5","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/tools/bm.sty","src/tex-text.js + src/renderer-svg.js","","Dropout / dropout | GameBoy joypad register / gameboy_joypad_register | Hierarchical graph classifier / hierarchical_graph_classifier | X LSTM / x lstm | inertial system color diagram pgf command def layer",""
"booktabs","5","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/booktabs/booktabs.sty","","","fileIO table read data fileio pgf table | table comparison many | table comparison med | pgfplotstable1 | pgfplotstable2",""
"braids","2","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/braids/braids.sty","src/preprocess.js:expandBraidMacros","","DNA / dna | dna double helix",""
"calc","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tools/calc.sty","","","time snake timescale physics timeline def foreach multi learn | time timeline physics timeline def foreach multi learn",""
"cfr-lm","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/cfr-lm/cfr-lm.sty","","","nn auto net 4h arr neuralnet matrix foreach style scope",""
"chemformula","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/chemformula/chemformula.sty","","","roost update","Package observed but chemical formula semantics are not implemented yet."
"chronology","1","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/chronology/chronology.sty","src/preprocess.js:expandChronologyEnvironments","","time chronology break arr timeline text advanced",""
"circuitikz","486","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/circuitikz/circuitikz.sty","src/interpreter.js:appendCircuitikzToSegment","","Tikzquads quadripoles and load line | seebeck effect | circuitikz manual snippet 001 | circuitikz manual snippet 002 | circuitikz manual snippet 003 | circuitikz manual snippet 004 | circuitikz manual snippet 005 | circuitikz manual snippet 006 | circuitikz manual snippet 007 | circuitikz manual snippet 008 | circuitikz manual snippet 009 | circuitikz manual snippet 010","Current implementation is a case-driven circuitikz subset, not the full circuitikz engine."
"color","3","builtin","/usr/local/texlive/2025/texmf-dist/tex/latex/graphics/color.sty","src/preprocess.js:collectColorDefinitions + src/tex-text.js","","colorized equation equation | table comparison many | table comparison med","Handled through the same color normalization path as xcolor."
"colortbl","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/colortbl/colortbl.sty","","","pgfplotstable1",""
"comment","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/comment/comment.sty","","","elem placing labels",""
"contour","7","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/contour/contour.sty","src/tex-text.js + src/renderer-svg.js","","Complex roots - tangent real solution | Complex roots - two real solutions | Complex roots - imaginary solutions | Complex roots - shifted complex solutions | Complex roots - imaginary roots extended graph | Complex roots - shifted extended graph | Complex roots - equation text block",""
"drawstack","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/drawstack/drawstack.sty","","","drawstack diagram | drawstack diagram",""
"enumitem","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/enumitem/enumitem.sty","","","time long labels enumitem timeline text style foreach",""
"etoolbox","4","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/etoolbox/etoolbox.sty","src/preprocess.js toggle compatibility","","Convolutional autoencoder / convolutional_autoencoder | RN object extraction / rn_object_extraction | X CNN / x cnn | physics impact particles table",""
"eulervm","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/eulervm/eulervm.sty","","","matricial manova reshape",""
